EmpID;Age;Attrition;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
RM297;18;Yes;Travel_Rarely;Research & Development;3;3;Life Sciences;3;Male;3;1;Laboratory Technician;3;Single;1420;1;No;0,13;3;3;0;0;2;3;0;0;0;0
RM302;18;No;Travel_Rarely;Sales;10;3;Medical;4;Female;2;1;Sales Representative;3;Single;1200;1;No;0,12;3;1;0;0;2;3;0;0;0;0
RM458;18;Yes;Travel_Frequently;Sales;5;3;Marketing;2;Male;3;1;Sales Representative;2;Single;1878;1;Yes;0,14;3;4;0;0;3;3;0;0;0;0
RM728;18;No;Non-Travel;Research & Development;5;2;Life Sciences;2;Male;3;1;Research Scientist;4;Single;1051;1;No;0,15;3;4;0;0;2;3;0;0;0;0
RM829;18;Yes;Non-Travel;Research & Development;8;1;Medical;3;Male;3;1;Laboratory Technician;3;Single;1904;1;No;0,12;3;4;0;0;0;3;0;0;0;0
RM973;18;No;Non-Travel;Research & Development;1;3;Life Sciences;4;Female;3;1;Laboratory Technician;4;Single;1611;1;No;0,15;3;3;0;0;5;4;0;0;0;0
RM1154;18;Yes;Travel_Frequently;Sales;3;2;Medical;2;Female;3;1;Sales Representative;4;Single;1569;1;Yes;0,12;3;3;0;0;2;4;0;0;0;0
RM1312;18;No;Non-Travel;Research & Development;14;3;Medical;2;Female;3;1;Research Scientist;3;Single;1514;1;No;0,16;3;3;0;0;4;1;0;0;0;0
RM128;19;Yes;Travel_Rarely;Sales;22;1;Marketing;4;Male;3;1;Sales Representative;3;Single;1675;1;Yes;0,19;3;4;0;0;2;2;0;0;0;0
RM150;19;No;Travel_Rarely;Research & Development;3;1;Medical;2;Female;3;1;Laboratory Technician;2;Single;1483;1;No;0,14;3;4;0;1;3;3;1;0;0;0
RM172;19;Yes;Travel_Frequently;Sales;1;1;Technical Degree;3;Female;1;1;Sales Representative;1;Single;2325;0;No;0,21;4;1;0;1;5;4;0;0;0;0
RM178;19;Yes;Travel_Rarely;Research & Development;2;3;Life Sciences;2;Male;2;1;Laboratory Technician;4;Single;1102;1;No;0,22;4;3;0;1;3;2;1;0;1;0
RM423;19;Yes;Travel_Rarely;Human Resources;2;2;Technical Degree;1;Male;2;1;Human Resources;4;Single;2564;1;No;0,12;3;3;0;1;3;4;1;0;0;0
RM689;19;Yes;Travel_Rarely;Sales;21;3;Other;4;Male;2;1;Sales Representative;2;Single;2121;1;Yes;0,13;3;2;0;1;3;4;1;0;0;0
RM854;19;No;Travel_Rarely;Research & Development;9;2;Life Sciences;3;Male;3;1;Research Scientist;1;Single;2552;1;No;0,25;4;3;0;1;4;3;1;1;0;0
RM893;19;Yes;Non-Travel;Research & Development;10;3;Medical;1;Female;2;1;Research Scientist;2;Single;1859;1;Yes;0,25;4;2;0;1;2;4;1;1;0;0
RM910;19;No;Travel_Rarely;Research & Development;25;3;Life Sciences;2;Female;4;1;Research Scientist;4;Single;2994;1;Yes;0,12;3;4;0;1;2;3;1;0;0;1
RM103;20;Yes;Travel_Frequently;Research & Development;6;3;Life Sciences;4;Female;2;1;Laboratory Technician;4;Single;2926;1;Yes;0,18;3;2;0;1;5;3;1;0;1;0
RM488;20;No;Travel_Rarely;Research & Development;1;3;Life Sciences;4;Female;2;1;Research Scientist;2;Single;2836;1;No;0,13;3;4;0;1;0;4;1;0;0;0
RM514;20;Yes;Travel_Rarely;Research & Development;10;1;Medical;4;Male;3;1;Research Scientist;3;Single;1009;1;Yes;0,11;3;4;0;1;5;3;1;0;1;1
RM663;20;Yes;Travel_Rarely;Sales;2;3;Medical;3;Female;2;1;Sales Representative;3;Single;2044;1;No;0,13;3;4;0;2;3;2;2;2;0;2
RM690;20;Yes;Travel_Rarely;Research & Development;4;3;Technical Degree;1;Male;3;1;Laboratory Technician;1;Single;2973;1;No;0,19;3;2;0;1;2;3;1;0;0;0
RM732;20;Yes;Travel_Rarely;Research & Development;11;3;Medical;4;Female;2;1;Research Scientist;1;Single;2600;1;Yes;0,15;3;1;0;1;2;3;1;0;0;0
RM777;20;Yes;Travel_Frequently;Sales;9;3;Marketing;4;Female;3;1;Sales Representative;4;Single;2323;1;Yes;0,14;3;2;0;2;3;3;2;2;0;2
RM857;20;No;Travel_Rarely;Research & Development;3;3;Life Sciences;1;Male;2;1;Laboratory Technician;3;Single;3033;1;No;0,12;3;1;0;2;2;2;2;2;1;2
RM877;20;No;Travel_Rarely;Sales;21;3;Marketing;3;Male;4;1;Sales Representative;4;Single;2678;1;No;0,17;3;4;0;2;2;3;2;1;2;2
RM1179;20;No;Travel_Rarely;Sales;2;3;Medical;3;Female;3;1;Sales Representative;3;Single;2783;1;No;0,19;3;1;0;2;3;3;2;2;2;2
RM1198;20;No;Travel_Rarely;Sales;9;1;Life Sciences;4;Male;3;1;Sales Representative;1;Single;2728;1;No;0,11;3;1;0;2;3;3;2;2;0;2
RM024;21;No;Travel_Rarely;Research & Development;15;2;Life Sciences;3;Male;3;1;Research Scientist;4;Single;1232;1;No;0,14;3;4;0;0;6;3;0;0;0;
RM275;21;No;Travel_Rarely;Research & Development;3;2;Medical;4;Male;2;1;Research Scientist;3;Single;3230;1;No;0,17;3;1;0;3;4;4;3;2;1;0
RM358;21;Yes;Travel_Frequently;Sales;1;1;Technical Degree;1;Female;2;1;Sales Representative;2;Single;2174;1;Yes;0,11;3;3;0;3;3;3;3;2;1;2
RM363;21;No;Non-Travel;Sales;9;2;Medical;1;Male;3;1;Sales Representative;4;Single;2610;1;No;0,24;4;3;0;3;3;2;3;2;2;
RM371;21;Yes;Travel_Rarely;Sales;12;3;Life Sciences;3;Female;4;1;Sales Representative;2;Single;2716;1;No;0,15;3;4;0;1;0;3;1;0;0;0
RM497;21;No;Travel_Rarely;Sales;22;1;Technical Degree;3;Male;3;1;Sales Representative;3;Single;3447;1;No;0,11;3;3;0;3;2;3;3;2;1;2
RM664;21;Yes;Travel_Rarely;Research & Development;18;1;Other;4;Female;3;1;Research Scientist;4;Single;2693;1;No;0,19;3;1;0;1;3;2;1;0;0;0
RM778;21;Yes;Travel_Rarely;Research & Development;10;3;Life Sciences;3;Female;2;1;Laboratory Technician;1;Single;1416;1;No;0,13;3;1;0;1;6;2;1;0;1;0
RM816;21;No;Travel_Rarely;Research & Development;1;1;Technical Degree;4;Female;2;1;Research Scientist;2;Single;2070;1;Yes;0,11;3;3;0;2;6;4;2;2;2;2
RM916;21;Yes;Travel_Frequently;Research & Development;10;2;Life Sciences;1;Female;2;1;Laboratory Technician;3;Single;2625;1;No;0,2;4;3;0;2;2;1;2;2;2;2
RM1153;21;No;Travel_Rarely;Research & Development;5;1;Medical;3;Male;3;1;Research Scientist;4;Single;3117;1;No;0,18;3;3;0;3;2;3;2;2;2;2
RM1272;21;Yes;Travel_Rarely;Sales;7;1;Marketing;2;Male;3;1;Sales Representative;2;Single;2679;1;No;0,13;3;2;0;1;3;3;1;0;1;0
RM1437;21;No;Travel_Rarely;Sales;5;1;Medical;3;Male;3;1;Sales Representative;1;Single;2380;1;Yes;0,11;3;4;0;2;6;3;2;2;1;2
RM018;22;No;Non-Travel;Research & Development;16;2;Medical;4;Male;4;1;Laboratory Technician;4;Divorced;2935;1;Yes;0,13;3;2;2;1;2;2;1;0;0;0
RM110;22;No;Travel_Rarely;Research & Development;15;3;Medical;2;Female;3;1;Laboratory Technician;4;Single;2871;1;No;0,15;3;3;0;1;5;3;0;0;0;0
RM129;22;No;Travel_Rarely;Research & Development;2;1;Technical Degree;3;Male;3;1;Laboratory Technician;4;Married;2523;0;No;0,14;3;3;1;3;2;3;2;1;2;1
RM161;22;No;Travel_Rarely;Research & Development;19;1;Medical;3;Male;3;1;Research Scientist;4;Married;2323;1;No;0,24;4;1;2;2;6;3;2;2;2;2
RM207;22;No;Travel_Rarely;Research & Development;5;3;Life Sciences;4;Male;4;1;Research Scientist;2;Divorced;2328;1;Yes;0,16;3;1;1;4;2;2;4;2;2;
RM384;22;No;Travel_Rarely;Research & Development;11;3;Medical;1;Female;3;1;Research Scientist;2;Married;2244;1;No;0,13;3;4;1;2;1;3;2;1;1;2
RM444;22;Yes;Travel_Frequently;Research & Development;4;1;Technical Degree;3;Male;2;1;Laboratory Technician;3;Single;3894;5;No;0,16;3;3;0;4;3;3;2;2;1;2
RM499;22;No;Travel_Rarely;Research & Development;6;1;Medical;1;Male;3;1;Research Scientist;3;Married;2773;0;No;0,2;4;4;0;3;3;3;2;2;2;2
RM631;22;No;Travel_Rarely;Research & Development;1;2;Life Sciences;4;Male;2;2;Manufacturing Director;4;Married;4775;6;No;0,22;4;1;2;4;2;1;2;2;2;2
RM667;22;Yes;Travel_Rarely;Research & Development;3;1;Life Sciences;2;Female;3;2;Manufacturing Director;3;Married;4171;0;Yes;0,19;3;1;1;4;3;4;3;2;0;2
RM735;22;No;Travel_Rarely;Research & Development;8;1;Life Sciences;2;Male;1;1;Laboratory Technician;1;Married;2451;1;No;0,15;3;1;1;4;3;2;4;3;1;1
RM861;22;Yes;Travel_Frequently;Research & Development;3;4;Life Sciences;3;Male;2;1;Research Scientist;4;Married;2853;0;Yes;0,11;3;2;1;1;5;3;0;0;0;0
RM1138;22;No;Non-Travel;Research & Development;26;2;Other;2;Female;2;1;Research Scientist;3;Married;2814;1;Yes;0,14;3;2;0;4;2;2;4;2;1;3
RM1274;22;Yes;Travel_Rarely;Research & Development;8;1;Medical;3;Female;3;1;Laboratory Technician;1;Married;2398;1;Yes;0,17;3;3;0;1;6;3;1;0;0;0
